File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.lang.StringUtils,"('StringUtils()',)",161,162,0.0
org.apache.commons.lang.StringUtils,"('isEmpty(java.lang.String)',)",185,185,0.0
org.apache.commons.lang.StringUtils,"('isNotEmpty(java.lang.String)',)",203,203,0.0
org.apache.commons.lang.StringUtils,"('isBlank(java.lang.String)',)",223,231,0.0
org.apache.commons.lang.StringUtils,"('isNotBlank(java.lang.String)',)",251,251,0.0
org.apache.commons.lang.StringUtils,"('clean(java.lang.String)',)",276,276,0.0
org.apache.commons.lang.StringUtils,"('trim(java.lang.String)',)",303,303,0.0
org.apache.commons.lang.StringUtils,"('trimToNull(java.lang.String)',)",329,330,0.0
org.apache.commons.lang.StringUtils,"('trimToEmpty(java.lang.String)',)",355,355,0.0
org.apache.commons.lang.StringUtils,"('strip(java.lang.String)',)",383,383,0.0
org.apache.commons.lang.StringUtils,"('stripToNull(java.lang.String)',)",410,414,0.0
org.apache.commons.lang.StringUtils,"('stripToEmpty(java.lang.String)',)",440,440,0.0
org.apache.commons.lang.StringUtils,"('strip(java.lang.String,java.lang.String)',)",470,474,0.0
org.apache.commons.lang.StringUtils,"('stripStart(java.lang.String,java.lang.String)',)",503,518,0.0
org.apache.commons.lang.StringUtils,"('stripEnd(java.lang.String,java.lang.String)',)",547,562,0.0
org.apache.commons.lang.StringUtils,"('stripAll(java.lang.String[])',)",587,587,0.0
org.apache.commons.lang.StringUtils,"('stripAll(java.lang.String[],java.lang.String)',)",617,624,0.0
org.apache.commons.lang.StringUtils,"('equals(java.lang.String,java.lang.String)',)",650,650,0.0
org.apache.commons.lang.StringUtils,"('equalsIgnoreCase(java.lang.String,java.lang.String)',)",675,675,0.0
org.apache.commons.lang.StringUtils,"('indexOf(java.lang.String,char)',)",700,703,0.0
org.apache.commons.lang.StringUtils,"('indexOf(java.lang.String,char,int)',)",732,735,0.0
org.apache.commons.lang.StringUtils,"('indexOf(java.lang.String,java.lang.String)',)",761,764,0.0
org.apache.commons.lang.StringUtils,"('ordinalIndexOf(java.lang.String,java.lang.String,int)',)",795,810,0.0
org.apache.commons.lang.StringUtils,"('indexOf(java.lang.String,java.lang.String,int)',)",845,852,0.0
org.apache.commons.lang.StringUtils,"('lastIndexOf(java.lang.String,char)',)",877,880,0.0
org.apache.commons.lang.StringUtils,"('lastIndexOf(java.lang.String,char,int)',)",911,914,0.0
org.apache.commons.lang.StringUtils,"('lastIndexOf(java.lang.String,java.lang.String)',)",940,943,0.0
org.apache.commons.lang.StringUtils,"('lastIndexOf(java.lang.String,java.lang.String,int)',)",975,978,0.0
org.apache.commons.lang.StringUtils,"('contains(java.lang.String,char)',)",1003,1006,0.0
org.apache.commons.lang.StringUtils,"('contains(java.lang.String,java.lang.String)',)",1031,1034,0.0
org.apache.commons.lang.StringUtils,"('containsIgnoreCase(java.lang.String,java.lang.String)',)",1061,1064,0.0
org.apache.commons.lang.StringUtils,"('indexOfAny(java.lang.String,char[])',)",1092,1103,0.0
org.apache.commons.lang.StringUtils,"('indexOfAny(java.lang.String,java.lang.String)',)",1129,1132,0.0
org.apache.commons.lang.StringUtils,"('indexOfAnyBut(java.lang.String,char[])',)",1160,1172,0.0
org.apache.commons.lang.StringUtils,"('indexOfAnyBut(java.lang.String,java.lang.String)',)",1198,1206,0.0
org.apache.commons.lang.StringUtils,"('containsOnly(java.lang.String,char[])',)",1234,1243,0.0
org.apache.commons.lang.StringUtils,"('containsOnly(java.lang.String,java.lang.String)',)",1269,1272,0.0
org.apache.commons.lang.StringUtils,"('containsNone(java.lang.String,char[])',)",1300,1313,0.0
org.apache.commons.lang.StringUtils,"('containsNone(java.lang.String,java.lang.String)',)",1339,1342,0.0
org.apache.commons.lang.StringUtils,"('indexOfAny(java.lang.String,java.lang.String[])',)",1374,1398,0.0
org.apache.commons.lang.StringUtils,"('lastIndexOfAny(java.lang.String,java.lang.String[])',)",1427,1443,0.0
org.apache.commons.lang.StringUtils,"('substring(java.lang.String,int)',)",1473,1489,0.0
org.apache.commons.lang.StringUtils,"('substring(java.lang.String,int,int)',)",1528,1557,0.0
org.apache.commons.lang.StringUtils,"('left(java.lang.String,int)',)",1583,1592,0.0
